ID,pLDDT
AF-A0A435IHH7-F1,59.59
AF-A0A6P0J0E2-F1,41.15
AF-W9ZB35-F1,38.48
AF-A0A6N7GT48-F1,34.59
AF-K6YH96-F1,75.22
AF-A0A6L5I2Z6-F1,45.88
AF-A0A256YFJ9-F1,40.44
AF-A0A4R8HZH2-F1,68.04
AF-R1E8Y0-F1,41.74
AF-H3H3R0-F1,58.20
AF-A0A0G1WYU6-F1,63.30
AF-A0A0D6JQJ1-F1,62.32
AF-A0A1J3EP11-F1,31.96
AF-A0A838CKZ4-F1,33.13
AF-R9UL48-F1,60.33
AF-A0A2H3E5S3-F1,45.06
AF-A0A061GND5-F1,41.17
AF-W9V0A8-F1,32.28
AF-A0A439MVD7-F1,73.07
AF-N0BBN3-F1,47.08
AF-A0A379SNN5-F1,60.01
AF-A0A0P0W7D7-F1,47.28
AF-A0A6I5G1W0-F1,46.46
AF-A0A813LGG5-F1,38.29
AF-A0A3B6XZK8-F1,74.27
AF-A0A3D1HBI3-F1,38.76
AF-A0A0F9TZ47-F1,43.51
AF-A0A829GJ55-F1,43.06
AF-A0A5A5TLM6-F1,43.42
AF-A0A2G5K7X4-F1,51.16
AF-A0A433NM79-F1,40.01
AF-A0A3A5S478-F1,36.96
AF-A0A5N5GEE5-F1,35.05
AF-A0A645EBM8-F1,50.20
AF-A0A7R9TP45-F1,65.15
AF-A0A1I8B2J4-F1,41.78
AF-A0A317BNN0-F1,40.20
AF-W2YLR8-F1,52.33
AF-A0A496MZR8-F1,45.76
AF-A0A174S834-F1,76.14
AF-A0A0R1GYU7-F1,53.99
AF-F7SLZ7-F1,36.91
AF-A0A1W0VL01-F1,37.30
AF-A0A538EV14-F1,41.12
AF-A0A094CJ59-F1,49.97
AF-A0A5J4UPB1-F1,48.50
AF-A0A6I9N0C2-F1,32.62
AF-A0A1R3G920-F1,85.07
AF-A0A7V8YEA1-F1,36.14
AF-A0A7C6JII8-F1,43.93
AF-A0A812JRI4-F1,47.30
AF-A0A495YUY2-F1,82.58
AF-A0A315VTW4-F1,56.56
AF-A0A840YR84-F1,78.61
