ID,pLDDT
AF-A0A4Y2PXS8-F1,50.71
AF-X1VBY5-F1,83.43
AF-A0A820VM36-F1,44.84
AF-A0A2T1G7L4-F1,41.77
AF-A0A2X2RVK2-F1,38.06
AF-A0A268QV39-F1,60.04
AF-A0A081D8N0-F1,56.90
AF-C5LKW3-F1,38.08
AF-A0A4Y2HUL4-F1,41.31
AF-A0A2H6JXX4-F1,58.24
AF-A0A351QVX6-F1,43.60
AF-A0A1X7G900-F1,60.11
AF-A0A367ZQF3-F1,45.26
AF-A0A538RQC3-F1,39.64
AF-A0A7J4LEH1-F1,38.91
AF-A0A0F4GIN6-F1,82.02
AF-A0A243QKD0-F1,37.28
AF-A0A402BT90-F1,46.81
AF-A0A0S8F2M4-F1,50.04
AF-A0A7I7MAK3-F1,46.45
AF-A0A7G2D3G8-F1,56.90
AF-A0A659YW17-F1,47.72
AF-A0A2D0N3F2-F1,60.70
AF-A0A4U0XYH5-F1,47.68
AF-A0A2X4ZJ05-F1,47.90
AF-A0A1R4HBK2-F1,73.46
AF-A0A0G0RNR7-F1,58.51
AF-V5H8Y8-F1,50.95
AF-K0JV86-F1,80.85
AF-A0A7W6WMB9-F1,57.71
AF-A0A359LSJ6-F1,46.13
AF-F6Z524-F1,67.21
AF-A0A7L5BGV9-F1,37.58
AF-A0A1M2YG70-F1,40.75
AF-A0A2U1M9V4-F1,42.32
AF-A0A090KY53-F1,71.38
AF-A0A4Y8QDC1-F1,50.39
AF-A0A7W4HY45-F1,62.44
AF-A0A7Y0L4T0-F1,54.63
AF-U1N4D9-F1,67.59
AF-A0A512HDF9-F1,50.00
AF-A0A7T8HJW6-F1,44.58
AF-A0A833G3A0-F1,51.85
AF-A0A7Y5MPI7-F1,48.00
AF-W1Y591-F1,55.50
AF-A0A1J5DY20-F1,66.78
AF-A0A830BJ45-F1,74.08
AF-G3Q377-F1,43.77
AF-X1QM18-F1,35.33
AF-A0A7V4LF75-F1,45.07
AF-A0A4Y9VS95-F1,84.17
AF-A0A379WGV2-F1,36.61
AF-A0A1M7YKG8-F1,48.29
AF-A0A2X2K0S1-F1,37.02
