ID,pLDDT
AF-A0A4R8HZH2-F1,48.91
AF-A0A256YFJ9-F1,56.69
AF-A0A6L5I2Z6-F1,36.36
AF-W9ZB35-F1,47.13
AF-A0A6N7GT48-F1,47.31
AF-K6YH96-F1,46.09
AF-R1E8Y0-F1,44.80
AF-A0A6P0J0E2-F1,49.18
AF-A0A435IHH7-F1,51.28
AF-A0A813LGG5-F1,53.63
AF-H3H3R0-F1,42.56
AF-A0A6I5G1W0-F1,54.95
AF-A0A379SNN5-F1,47.51
AF-A0A0P0W7D7-F1,51.74
AF-R9UL48-F1,60.71
AF-A0A439MVD7-F1,81.00
AF-A0A061GND5-F1,56.57
AF-N0BBN3-F1,52.89
AF-A0A2H3E5S3-F1,41.08
AF-A0A838CKZ4-F1,36.77
AF-W9V0A8-F1,35.06
AF-A0A1J3EP11-F1,42.98
AF-A0A0D6JQJ1-F1,54.29
AF-A0A0G1WYU6-F1,49.71
AF-A0A496MZR8-F1,57.00
AF-A0A174S834-F1,55.30
AF-A0A1I8B2J4-F1,60.30
AF-A0A317BNN0-F1,76.08
AF-A0A7R9TP45-F1,42.46
AF-A0A645EBM8-F1,55.39
AF-A0A3A5S478-F1,38.63
AF-A0A5N5GEE5-F1,34.31
AF-A0A2G5K7X4-F1,71.16
AF-A0A433NM79-F1,55.13
AF-A0A5A5TLM6-F1,39.40
AF-A0A0F9TZ47-F1,40.71
AF-A0A829GJ55-F1,55.34
AF-A0A3B6XZK8-F1,59.61
AF-W2YLR8-F1,65.04
AF-A0A3D1HBI3-F1,50.37
AF-A0A812JRI4-F1,54.91
AF-A0A495YUY2-F1,45.83
AF-A0A840YR84-F1,46.04
AF-A0A315VTW4-F1,41.38
AF-A0A7V8YEA1-F1,39.59
AF-A0A7C6JII8-F1,41.99
AF-A0A1R3G920-F1,56.59
AF-F7SLZ7-F1,37.41
AF-A0A6I9N0C2-F1,39.53
AF-A0A5J4UPB1-F1,65.62
AF-A0A538EV14-F1,38.10
AF-A0A094CJ59-F1,55.01
AF-A0A0R1GYU7-F1,44.41
AF-A0A1W0VL01-F1,34.57
AF-A0A1I0C157-F1,42.46
AF-A0A820I3P8-F1,39.36
AF-A0A518HBP3-F1,40.15
AF-A0A0B7K6U5-F1,44.83
AF-A0A087U7Y0-F1,50.64
AF-A0A0D2MXF2-F1,50.74
AF-A0A556V1Q8-F1,42.85
AF-A0A848XLZ2-F1,44.03
AF-A0A6B0SDY1-F1,50.56
AF-A0A419W7G3-F1,47.24
AF-A0A561TU30-F1,36.15
AF-A0A821QD24-F1,44.86
AF-A0A397SUP4-F1,46.93
AF-W1Y591-F1,43.85
AF-A0A4R3PVS5-F1,51.40
AF-A0A0F9LLG3-F1,45.82
AF-A0A2V3I2G5-F1,40.70
AF-U1N4D9-F1,42.83
AF-A0A2S4GUJ6-F1,43.10
AF-A0A5J4P8V5-F1,57.47
AF-A0A1X6YDH4-F1,40.34
