ID,pLDDT
AF-A0A5A9PN70-F1,26.94
AF-A0A2S9IXR6-F1,44.40
AF-A0A257TGQ0-F1,54.70
AF-A0A3P1YER9-F1,26.93
AF-A0A6N8XWW7-F1,41.61
AF-K7RK56-F1,37.16
AF-H3C3T1-F1,26.84
AF-A0A0N4XBJ0-F1,80.57
AF-A0A6M8BDN4-F1,35.71
AF-A0A2V5NMJ2-F1,35.44
AF-A0A022QP81-F1,69.86
AF-A0A7Y4MG72-F1,43.37
AF-A0A0E9P6J2-F1,46.43
AF-A0A0K9R426-F1,68.38
AF-A0A453C1P2-F1,52.43
AF-A0A183EP00-F1,74.66
AF-A0A0F8WHU1-F1,60.54
AF-A0A2S8K530-F1,30.85
AF-A0A7S3HJ07-F1,36.45
AF-A0A401K267-F1,46.27
AF-A0A402FV61-F1,26.26
AF-A0A7C1V5G6-F1,65.89
AF-A0A3D5FQM5-F1,33.80
AF-A0A4U0Z3N9-F1,43.51
AF-T0RS85-F1,30.68
AF-A0A527H248-F1,34.54
AF-A0A4U9TFA6-F1,74.70
AF-A0A7S2Z7V7-F1,28.33
AF-A0A418RSA4-F1,46.42
AF-S4ATI4-F1,74.98
AF-A0A2H0LW71-F1,39.27
AF-A0A1Q8E7D6-F1,25.87
AF-A0A661DB33-F1,49.12
AF-A0A6A0GQA4-F1,28.20
AF-A0A1V2Z9P5-F1,40.22
AF-T1HWS3-F1,46.54
AF-A0A699XRD6-F1,52.84
AF-A0A2G2LLF9-F1,47.74
AF-A0A7Y0M0A9-F1,24.41
AF-D5QBB1-F1,82.55
AF-A0A1X6YDH4-F1,64.82
AF-A0A2S4GUJ6-F1,36.63
AF-A0A5J4P8V5-F1,75.56
AF-A0A2V3I2G5-F1,32.60
AF-A0A4R3PVS5-F1,47.58
AF-A0A0F9LLG3-F1,40.73
AF-A0A397SUP4-F1,46.61
AF-A0A561TU30-F1,32.11
AF-A0A821QD24-F1,77.55
AF-A0A419W7G3-F1,81.10
AF-B9TFM1-F1,43.72
AF-A0A848XLZ2-F1,50.49
AF-A0A6B0SDY1-F1,45.01
AF-A0A556V1Q8-F1,32.54
AF-H1LFN5-F1,27.05
AF-A0A0D2MXF2-F1,36.70
AF-A0A087U7Y0-F1,44.03
AF-A0A0B7K6U5-F1,33.63
AF-A0A1I0C157-F1,29.65
AF-A0A820I3P8-F1,38.94
AF-A0A518HBP3-F1,75.00
AF-A0A1W0VL01-F1,36.19
AF-A0A0R1GYU7-F1,41.04
AF-A0A094CJ59-F1,35.12
AF-A0A538EV14-F1,36.91
AF-A0A5J4UPB1-F1,41.32
AF-A0A6I9N0C2-F1,28.36
AF-A0A1R3G920-F1,75.30
AF-A0A7C6JII8-F1,56.70
AF-A0A7V8YEA1-F1,27.87
AF-A0A840YR84-F1,61.90
AF-A0A315VTW4-F1,54.64
AF-A0A812JRI4-F1,35.97
AF-A0A495YUY2-F1,65.68
AF-A0A3D1HBI3-F1,47.46
AF-A0A3B6XZK8-F1,73.14
AF-A0A0F9TZ47-F1,27.19
AF-A0A829GJ55-F1,35.73
AF-A0A5A5TLM6-F1,34.09
AF-A0A433NM79-F1,38.78
AF-A0A2G5K7X4-F1,33.43
AF-A0A5N5GEE5-F1,23.50
AF-A0A3A5S478-F1,33.79
AF-A0A645EBM8-F1,34.45
AF-A0A7R9TP45-F1,60.88
AF-A0A1I8B2J4-F1,39.10
AF-A0A317BNN0-F1,40.42
AF-A0A496MZR8-F1,54.40
AF-A0A174S834-F1,74.69
AF-A0A0G1WYU6-F1,58.77
AF-A0A0D6JQJ1-F1,45.83
AF-A0A1J3EP11-F1,38.05
AF-A0A838CKZ4-F1,22.45
AF-E7G4B8-F1,31.95
AF-A0A2H3E5S3-F1,58.75
AF-X0UXX5-F1,56.24
AF-A0A061GND5-F1,42.33
AF-A0A439MVD7-F1,45.14
AF-A0A379SNN5-F1,59.75
AF-A0A0P0W7D7-F1,32.02
AF-A0A6I5G1W0-F1,38.35
AF-A0A813LGG5-F1,32.60
AF-A0A435IHH7-F1,37.88
AF-A0A6P0J0E2-F1,54.84
AF-X1AZ52-F1,54.62
AF-A0A6N7GT48-F1,33.27
AF-A0A6L5I2Z6-F1,28.05
AF-A0A256YFJ9-F1,39.51
AF-A0A4R8HZH2-F1,58.65
AF-K2DS48-F1,40.11
AF-A0A7J9N6L6-F1,70.70
AF-A0A519PI06-F1,24.08
AF-A0A7V4Q644-F1,79.39
AF-N0BBN3-F1,38.99
AF-A0A6P0S651-F1,49.00
AF-W9V0A8-F1,20.86
AF-A0A7X8AZV9-F1,49.29
AF-A0A2B8J9V3-F1,44.18
AF-A0A7J6QZG2-F1,31.82
AF-A0A099ZG18-F1,66.50
AF-A0A6I3TSF5-F1,40.14
AF-A0A413GXF1-F1,37.86
AF-A0A7W8W567-F1,25.79
AF-A0A1J5QPG2-F1,20.65
AF-A0A3C1G1P3-F1,57.65
AF-A0A0P0V5Y0-F1,38.31
AF-H3H3R0-F1,51.92
AF-R9UL48-F1,64.81
AF-A0A6P8JNU8-F1,45.28
AF-A0A1I2X5I5-F1,36.83
AF-A0A6S7HLZ3-F1,59.55
AF-A0A840ELA8-F1,33.63
AF-A0A1D6P7G0-F1,60.55
AF-K6YH96-F1,75.71
AF-A0A7Y5WJ84-F1,42.87
AF-A0A0A1D1U7-F1,75.39
AF-A0A6F9X348-F1,65.27
AF-A0A7W8CIS8-F1,44.82
AF-A0A432SH61-F1,49.68
AF-R1E8Y0-F1,39.11
AF-A0A7S1JD18-F1,77.48
AF-A0A2W7AV62-F1,34.47
AF-A0A4P7RVV0-F1,41.53
AF-A0A7J4IH20-F1,49.17
AF-A0A1Q9PHR5-F1,40.84
AF-A0A512HSR5-F1,73.61
AF-A0A495ZFI3-F1,76.51
AF-W9ZB35-F1,29.60
AF-A0A6G7Z2T4-F1,34.24
AF-A0A7S2JPU8-F1,29.98
AF-A0A4S0IAV6-F1,30.77
AF-A0A6V7I298-F1,32.29
AF-A0A1G6EIZ9-F1,28.04
AF-A0A6B8RK86-F1,80.49
AF-A0A355T1Q4-F1,32.53
AF-A0A521UXW8-F1,75.27
AF-A0A2N1DSM6-F1,53.34
AF-F7SLZ7-F1,23.51
AF-A0A0F0LCX4-F1,49.82
AF-A0A558IEW6-F1,30.55
AF-A0A0S7MIW0-F1,30.93
AF-A0A1U8NJU1-F1,29.04
AF-A0A6B2G6J9-F1,33.76
AF-A0A839GQI8-F1,63.36
AF-A0A3M6XVU1-F1,31.92
AF-A0A1W5DR73-F1,80.81
AF-A0A0D2JG74-F1,53.50
AF-A0A3E0N3T5-F1,46.59
AF-A0A654ZMF8-F1,70.90
AF-A0A034WSI0-F1,48.35
AF-W2YLR8-F1,57.96
AF-A0A1M7R644-F1,57.68
AF-A0A1Y3X2Q8-F1,47.37
AF-A0A0K2UJC2-F1,65.16
AF-A0A832H160-F1,40.72
AF-A0A2R6QQ54-F1,25.33
AF-A0A3C1BN36-F1,48.03
AF-A0A524JH57-F1,36.92
AF-A0A2E3HUS5-F1,82.92
AF-A0A1M7H687-F1,80.35
AF-A0A536SVJ4-F1,34.19
AF-A0A3B6NXG1-F1,62.64
AF-A0A556UED6-F1,77.88
AF-G3Q377-F1,54.63
AF-A0A5C3M3H4-F1,54.17
AF-A0A7S2QKH8-F1,39.79
AF-A0A259J2H2-F1,25.90
AF-X1QM18-F1,43.94
AF-A0A6V8EDF8-F1,35.32
AF-A0A3D2X6J1-F1,54.45
AF-A0A267FWY4-F1,36.26
AF-A0A2P6Q2I3-F1,47.83
AF-W1Y591-F1,59.58
AF-A0A444S7M2-F1,22.36
AF-A0A1H1TKY1-F1,39.38
AF-A0A0R0LUI7-F1,80.70
AF-A0A381NST7-F1,45.29
AF-A0A7W0L155-F1,80.40
AF-U1N4D9-F1,65.65
AF-A0A402FGV5-F1,33.82
AF-A0A382Z0I4-F1,31.07
AF-A0A540V781-F1,57.50
AF-A0A1Y3S2Q3-F1,62.70
AF-A0A534V5D6-F1,28.91
AF-A0A7G9YWN2-F1,53.12
AF-A0A359MCD6-F1,41.36
AF-A0A1B6NX12-F1,30.30
AF-A0A4Q3G3R2-F1,39.29
AF-V5H8Y8-F1,71.98
AF-K0JV86-F1,79.53
AF-A0A2A7U0K4-F1,39.02
AF-F6Z524-F1,67.45
AF-A0A7S3F2L8-F1,39.86
AF-A0A534U6D8-F1,82.86
AF-A0A5N9CSR4-F1,29.04
AF-A0A7S2DK77-F1,40.33
AF-A0A7S4V5K7-F1,26.61
AF-A0A7S2S274-F1,24.75
AF-A0A6P0TRC5-F1,45.95
